Date,Cum_deaths,7-day Average New Deaths,New Deaths Rate,7-day Average New Death Rate,Total Death Rate
02/03/2021,206,207.2,49.31,61.2,12679.76
02/03/2022,196,227.29999999999998,54.54,69.9,26432.13
02/04/2021,164,195.1,44.67,52.3,12724.45
02/04/2022,204,223.6,98.75,73.67999999999999,26530.91
02/05/2021,168,190.6,59.22,53.55,12783.65
02/05/2022,158,212.1,45.18,70.0,26576.08
02/06/2021,166,185.6,50.940000000000005,52.12,12834.6
02/06/2022,164,201.70000000000002,50.4,65.66,26626.51
02/07/2021,144,178.2,34.13,49.47,12868.71
02/07/2022,164,190.70000000000002,44.7,59.58,26671.19
02/08/2021,172,173.9,45.17,47.96,12913.86
02/08/2022,182,180.8,67.07,58.31,26738.21
02/09/2021,158,167.9,37.0,45.8,12950.86
02/09/2022,136,171.9,52.949999999999996,59.08,26791.15
02/10/2021,166,162.4,46.64,45.38,12997.52
02/10/2022,156,166.1,45.39,57.78,26836.56
02/11/2021,148,160.29999999999998,37.65,44.42,13035.17
02/11/2022,166,160.4,68.28999999999999,53.44,26904.85
02/12/2021,134,155.20000000000002,22.43,39.16,13057.56
02/12/2022,128,156.4,39.29,52.59,26944.14
02/13/2021,128,150.0,34.83,36.81,13092.44
02/13/2022,144,153.2,64.79,54.59,27008.88
02/14/2021,126,146.7,30.68,36.33,13123.1
02/14/2022,100,144.1,43.35,54.43,27052.24
02/15/2021,132,141.1,33.92,34.7,13156.960000000001
02/15/2022,106,133.6,32.08,49.43,27084.29
02/16/2021,130,137.3,40.53,35.21,13197.53
02/16/2022,102,128.5,41.19,47.78,27125.47
02/17/2021,124,131.4,29.12,32.72,13226.64
02/17/2022,136,125.6,35.81,46.4,27161.34
02/18/2021,104,125.10000000000001,28.45,31.39,13255.07
02/18/2022,110,117.9,47.309999999999995,43.410000000000004,27208.68
02/19/2021,78,117.0,18.2,30.78,13273.27
02/19/2022,90,112.1,34.910000000000004,42.78,27243.55
02/20/2021,138,118.39999999999999,63.43,34.89,13336.69
02/20/2022,100,106.0,27.28,37.45,27270.82
02/21/2021,108,115.6,47.8,37.34,13384.47
02/21/2022,100,106.1,27.72,35.15,27298.52
02/22/2021,88,109.8,24.65,36.02,13409.09
02/22/2022,98,105.0,33.57,35.4,27332.09
02/23/2021,112,106.9,27.63,34.160000000000004,13436.7
02/23/2022,88,102.9,19.55,32.31,27351.66
02/24/2021,90,102.39999999999999,18.98,32.71,13455.66
02/24/2022,66,92.7,24.45,30.69,27376.12
02/25/2021,92,100.19999999999999,52.53,36.160000000000004,13508.2
02/25/2022,74,87.5,25.77,27.63,27401.9
02/26/2021,76,100.1,17.13,36.05,13525.34
02/26/2022,80,86.0,27.87,26.57,27429.760000000002
02/27/2021,78,91.3,21.42,30.06,13546.77
02/27/2022,60,80.3,17.74,25.25,27447.5
02/28/2021,84,88.1,20.77,26.15,13567.5
02/28/2022,74,76.5,17.27,23.73,27464.78
03/01/2021,88,88.1,22.91,25.87,13590.45
03/01/2022,76,73.5,25.14,22.52,27489.89
03/02/2021,64,81.3,21.84,25.09,13612.29
03/02/2022,66,70.4,22.41,22.98,27512.29
03/03/2021,56,76.7,16.08,24.65,13628.33
03/03/2022,64,70.19999999999999,18.55,22.150000000000002,27530.84
03/04/2021,80,75.2,16.47,19.52,13644.81
03/04/2022,46,66.19999999999999,11.65,20.11,27542.51
03/05/2021,64,73.2,26.72,20.88,13671.53
03/05/2022,40,60.4,13.06,18.0,27555.54
03/06/2021,74,72.7,15.9,20.1,13687.46
03/06/2022,34,56.900000000000006,10.0,16.88,27565.6
03/07/2021,64,69.89999999999999,15.01,19.28,13702.46
03/07/2022,40,51.5,10.7,15.96,27576.31
03/08/2021,78,68.3,25.67,19.67,13728.12
03/08/2022,46,47.4,12.84,14.22,27589.149999999998
03/09/2021,74,69.7,16.0,18.83,13744.14
03/09/2022,38,43.4,13.07,12.86,27602.21
03/10/2021,70,71.6,16.43,18.89,13760.57
03/10/2022,36,39.4,11.15,11.83,27613.36
03/11/2021,52,67.6,11.709999999999999,18.23,13772.289999999999
03/11/2022,42,39.0,15.459999999999999,12.32,27628.82
03/12/2021,50,65.7,11.21,16.03,13783.49
03/12/2022,56,41.1,26.45,14.24,27655.29
03/13/2021,74,65.8,14.33,15.78,13797.79
03/13/2022,30,40.5,31.02,17.23,27686.29
03/14/2021,86,68.89999999999999,21.54,16.69,13819.34
03/14/2022,50,41.9,18.28,18.330000000000002,27704.579999999998
03/15/2021,54,65.6,17.1,15.48,13836.44
03/15/2022,22,38.300000000000004,8.68,17.72,27713.27
03/16/2021,50,62.0,14.12,15.200000000000001,13850.54
03/16/2022,42,39.1,12.969999999999999,17.75,27726.21
03/17/2021,40,57.800000000000004,8.969999999999999,14.13,13859.5
03/17/2022,44,40.3,12.8,17.97,27739.01
03/18/2020,2,0.0,0.34,0.0,0.34
03/18/2021,70,60.4,15.03,14.620000000000001,13874.52
03/18/2022,32,38.699999999999996,20.29,18.64,27759.29
03/19/2020,0,0.0,0.0,0.0,0.34
03/19/2021,56,61.1,21.56,16.080000000000002,13896.08
03/19/2022,36,35.9,9.54,16.22,27768.82
03/20/2020,2,0.0,0.34,0.0,0.68
03/20/2021,54,58.1,8.99,15.33,13905.11
03/20/2022,36,37.0,16.02,14.08,27784.85
03/21/2020,2,0.0,0.09,0.0,0.76
03/21/2021,54,53.6,16.6,14.59,13921.69
03/21/2022,32,34.4,7.52,12.52,27792.36
03/22/2020,6,0.0,1.06,0.0,1.8199999999999998
03/22/2021,56,53.800000000000004,14.4,14.200000000000001,13936.1
03/22/2022,24,34.6,2.95,11.74,27795.3
03/23/2020,10,0.0,1.2999999999999998,0.0,3.12
03/23/2021,66,56.0,25.72,15.9,13961.83
03/23/2022,26,32.0,9.19,11.21,27804.51
03/24/2020,14,0.0,1.4700000000000002,0.0,4.59
03/24/2021,62,59.5,17.58,17.14,13979.42
03/24/2022,20,28.7,5.84,10.21,27810.35
03/25/2020,10,6.0,3.8,1.1600000000000001,8.39
03/25/2021,52,56.6,16.25,17.32,13995.68
03/25/2022,14,26.0,8.6,8.53,27818.94
03/26/2020,14,8.0,1.45,1.3800000000000001,9.82
03/26/2021,64,58.0,17.51,16.75,14013.17
03/26/2022,28,25.0,9.26,8.48,27828.24
03/27/2020,30,12.0,4.199999999999999,1.9100000000000001,14.04
03/27/2021,54,57.7,8.69,16.72,14021.88
03/27/2022,18,22.6,5.95,7.0600000000000005,27834.2
03/28/2020,14,14.0,2.11,2.2,16.16
03/28/2021,58,58.099999999999994,16.16,16.63,14038.03
03/28/2022,14,20.1,1.0899999999999999,6.12,27835.29
03/29/2020,14,15.2,1.8900000000000001,2.33,18.03
03/29/2021,50,57.8,12.36,16.32,14050.35
03/29/2022,22,19.7,6.03,6.59,27841.32
03/30/2020,48,20.5,7.48,3.19,25.509999999999998
03/30/2021,62,57.3,15.879999999999999,14.9,14066.23
03/30/2022,22,19.3,5.91,6.1000000000000005,27847.23
03/31/2020,20,21.1,1.99,3.27,27.48
03/31/2021,64,57.6,13.71,14.370000000000001,14079.93
03/31/2022,20,19.3,6.8100000000000005,6.23,27854.02
04/01/2020,42,25.7,4.15,3.32,31.59
04/01/2021,64,59.0,16.93,14.46,14096.85
04/01/2022,20,20.5,5.7,5.82,27859.7
04/02/2020,66,33.0,9.63,4.5,41.25
04/02/2021,82,61.1,20.78,14.92,14117.64
04/02/2022,32,20.7,10.3,5.96,27870.04
04/03/2020,92,41.9,11.77,5.6,53.03
04/03/2021,64,62.8,34.72,18.64,14152.35
04/03/2022,16,20.1,4.32,5.74,27874.36
04/04/2020,112,55.8,12.57,7.08,65.6
04/04/2021,60,63.199999999999996,12.83,18.17,14165.15
04/04/2022,16,20.4,6.6899999999999995,6.550000000000001,27881.06
04/05/2020,124,71.89999999999999,11.129999999999999,8.39,76.72
04/05/2021,60,64.3,14.86,18.52,14180.03
04/05/2022,18,19.8,4.01,6.25,27885.05
04/06/2020,164,88.3,13.66,9.25,90.37
04/06/2021,72,66.1,14.57,18.34,14194.62
04/06/2022,18,19.2,4.05,5.99,27889.14
04/07/2020,180,111.10000000000001,20.740000000000002,11.96,111.12
04/07/2021,80,68.2,14.07,18.39,14208.69
04/07/2022,18,19.0,5.54,5.8100000000000005,27894.67
04/08/2020,176,130.5,25.12,14.96,136.24
04/08/2021,84,71.1,30.07,20.27,14238.82
04/08/2022,16,18.5,5.42,5.7700000000000005,27900.1
04/09/2020,202,149.6,21.99,16.72,158.24
04/09/2021,74,70.1,18.77,20.0,14257.59
04/09/2022,14,16.2,10.66,5.82,27910.76
04/10/2020,186,163.20000000000002,22.48,18.22,180.71
04/10/2021,64,70.19999999999999,17.759999999999998,17.54,14275.35
04/10/2022,14,15.899999999999999,3.83,5.74,27914.58
04/11/2020,192,174.4,22.56,19.66,203.27
04/11/2021,82,73.1,16.3,18.05,14291.67
04/11/2022,20,16.4,6.449999999999999,5.69,27921.03
04/12/2020,180,182.2,18.23,20.66,221.49
04/12/2021,96,77.9,27.57,19.87,14319.24
04/12/2022,14,15.6,1.93,5.4,27922.95
04/13/2020,218,190.4,29.939999999999998,23.0,251.43
04/13/2021,82,79.5,13.96,19.78,14333.16
04/13/2022,18,15.7,3.4699999999999998,5.32,27926.41
04/14/2020,252,200.6,29.11,24.24,280.55
04/14/2021,86,80.7,15.34,19.96,14348.47
04/14/2022,20,15.600000000000001,8.61,5.7700000000000005,27935.03
04/15/2020,240,209.4,30.17,24.95,310.75
04/15/2021,96,82.4,25.07,19.26,14373.56
04/15/2022,16,15.700000000000001,8.62,6.2,27943.66
04/16/2020,280,220.79999999999998,39.95,27.53,350.72
04/16/2021,84,84.0,27.17,20.46,14400.74
04/16/2022,6,14.7,1.24,4.88,27944.9
04/17/2020,322,240.2,31.439999999999998,28.79,382.15999999999997
04/17/2021,92,88.0,23.84,21.28,14424.57
04/17/2022,12,14.4,4.41,4.95,27949.29
04/18/2020,296,255.4,32.879999999999995,30.27,415.04
04/18/2021,84,88.2,19.99,21.8,14444.58
04/18/2022,2,11.8,0.54,4.12,27949.84
04/19/2020,262,266.9,28.38,31.700000000000003,443.39
04/19/2021,104,88.9,30.95,22.3,14475.5
04/19/2022,4,10.5,0.8099999999999999,3.95,27950.64
04/20/2020,280,275.7,31.62,31.98,475.03
04/20/2021,64,86.4,10.0,21.75,14485.48
04/20/2022,2,8.299999999999999,1.67,3.69,27952.31
04/21/2020,294,281.8,32.04,32.37,507.06
04/21/2021,112,90.3,28.8,23.67,14514.289999999999
04/22/2020,326,293.9,43.26,34.23,550.32
04/22/2021,106,91.5,28.71,24.21,14543.0
04/23/2020,290,295.1,39.46,34.15,589.76
04/23/2021,86,91.7,42.56999999999999,26.4,14585.58
04/24/2020,294,291.4,28.92,33.78,618.68
04/24/2021,96,92.4,21.75,26.080000000000002,14607.34
04/25/2020,368,301.8,43.13,35.25,661.82
04/25/2021,68,90.60000000000001,21.85,26.36,14629.22
04/26/2020,252,300.3,35.519999999999996,36.27,697.31
04/26/2021,62,84.7,15.34,24.12,14644.57
04/27/2020,278,300.0,34.449999999999996,36.65,731.73
04/27/2021,76,86.4,19.509999999999998,25.51,14664.06
04/28/2020,264,295.5,38.42,37.58,770.15
04/28/2021,100,84.69999999999999,34.59,26.32,14698.64
04/29/2020,276,288.5,31.51,35.91,801.64
04/29/2021,62,78.39999999999999,12.459999999999999,24.0,14711.09
04/30/2020,300,289.90000000000003,39.25,35.89,840.86
04/30/2021,88,78.60000000000001,19.04,20.64,14730.13
05/01/2020,240,282.40000000000003,31.43,36.22,872.3
05/01/2021,54,72.6,8.79,18.82,14738.88
05/02/2020,226,261.8,28.259999999999998,34.14,900.55
05/02/2021,84,74.7,14.75,17.78,14753.68
05/03/2020,236,259.59999999999997,30.759999999999998,33.42,931.3
05/03/2021,80,77.3,23.33,18.93,14776.98
05/04/2020,250,255.5,29.98,32.78,961.26
05/04/2021,82,78.2,16.21,18.45,14793.18
05/05/2020,258,254.9,31.64,31.82,992.89
05/05/2021,86,76.3,18.08,16.06,14811.26
05/06/2020,246,250.4,35.77,32.44,1028.69
05/06/2021,74,78.0,23.04,17.61,14834.33
05/07/2020,234,241.2,31.46,31.34,1060.15
05/07/2021,56,73.89999999999999,16.7,17.25,14851.0
05/08/2020,236,240.70000000000002,26.21,30.57,1086.34
05/08/2021,68,75.89999999999999,11.58,17.65,14862.55
05/09/2020,182,234.6,21.8,29.64,1108.16
05/09/2021,66,72.8,13.3,17.49,14875.86
05/10/2020,216,231.60000000000002,27.169999999999998,29.16,1135.34
05/10/2021,68,70.9,17.32,16.62,14893.14
05/11/2020,216,226.4,28.89,29.0,1164.24
05/11/2021,50,66.2,10.73,15.8,14903.89
05/12/2020,184,215.8,26.88,28.31,1191.1200000000001
05/12/2021,70,64.1,12.26,14.98,14916.16
05/13/2020,188,207.9,26.58,27.01,1217.71
05/13/2021,66,63.199999999999996,19.07,14.41,14935.22
05/14/2020,220,206.0,31.08,26.939999999999998,1248.79
05/14/2021,52,62.9,13.09,13.92,14948.33
05/15/2020,196,199.79999999999998,33.82,28.03,1282.57
05/15/2021,38,58.6,2.95,12.68,14951.27
05/16/2020,186,200.5,24.57,28.439999999999998,1307.17
05/16/2021,64,58.0,17.96,13.33,14969.24
05/17/2020,150,191.10000000000002,18.02,27.15,1325.21
05/17/2021,54,55.6,12.32,12.61,14981.55
05/18/2020,140,180.3,18.4,25.64,1343.57
05/18/2021,48,55.7,38.75,16.61,15020.31
05/19/2020,150,175.4,23.48,25.13,1367.04
05/19/2021,64,54.8,14.879999999999999,16.99,15035.21
05/20/2020,138,168.3,18.39,23.96,1385.41
05/20/2021,52,52.4,10.959999999999999,15.83,15046.17
05/21/2020,154,158.79999999999998,19.67,22.35,1405.11
05/21/2021,60,53.7,17.15,16.4,15063.32
05/22/2020,166,154.4,28.03,21.5,1433.13
05/22/2021,52,55.800000000000004,18.31,18.57,15081.64
05/23/2020,104,142.79999999999998,15.29,20.2,1448.41
05/23/2021,36,51.800000000000004,7.58,17.12,15089.199999999999
05/24/2020,100,135.7,12.43,19.41,1460.83
05/24/2021,42,49.9,10.46,16.830000000000002,15099.68
05/25/2020,120,132.79999999999998,15.129999999999999,18.94,1475.96
05/25/2021,44,49.300000000000004,13.459999999999999,13.26,15113.18
05/26/2020,90,124.3,11.24,17.17,1487.19
05/26/2021,46,47.1,9.41,12.46,15122.61
05/27/2020,90,117.6,14.04,16.57,1501.18
05/27/2021,44,45.7,14.190000000000001,12.93,15136.76
05/28/2020,106,110.7,11.06,15.33,1512.27
05/28/2021,36,42.1,9.58,11.85,15146.34
05/29/2020,118,103.7,15.03,13.47,1527.3
05/29/2021,36,39.6,11.03,10.81,15157.36
05/30/2020,70,98.8,11.54,12.93,1538.81
05/30/2021,36,39.6,12.91,11.58,15170.289999999999
05/31/2020,78,95.8,14.12,13.16,1552.93
05/31/2021,38,39.1,5.97,10.95,15176.26
06/01/2020,88,91.10000000000001,13.88,13.0,1566.8
06/01/2021,40,38.5,26.849999999999998,12.85,15203.1
06/02/2020,110,94.2,10.86,12.95,1577.69
06/02/2021,32,36.4,10.379999999999999,13.0,15213.48
06/03/2020,88,93.8,9.0,12.22,1586.71
06/03/2021,32,35.0,7.22,12.01,15220.7
06/04/2020,42,84.5,3.94,11.19,1590.66
06/04/2021,14,31.7,3.46,11.15,15224.15
06/05/2020,70,77.9,11.17,10.65,1601.83
06/05/2021,30,30.8,5.13,10.290000000000001,15229.29
06/06/2020,60,76.1,11.57,10.69,1613.39
06/06/2021,32,30.5,6.22,9.32,15235.5
06/07/2020,66,74.2,10.67,10.19,1624.04
06/07/2021,24,28.599999999999998,9.89,9.89,15245.4
06/08/2020,52,69.2,5.76,9.040000000000001,1629.81
06/08/2021,30,27.3,11.42,7.69,15256.8
06/09/2020,48,60.6,6.99,8.47,1636.81
06/09/2021,22,25.4,5.08,6.93,15261.89
06/10/2020,58,56.3,7.75,8.28,1644.55
06/10/2021,22,24.0,9.129999999999999,7.19,15271.0
06/11/2020,74,60.800000000000004,9.52,9.07,1654.07
06/11/2021,42,27.900000000000002,12.06,8.4,15283.07
06/12/2020,60,59.4,8.17,8.64,1662.23
06/12/2021,20,26.7,5.76,8.47,15288.83
06/13/2020,48,57.8,4.68,7.65,1666.91
06/13/2021,24,25.3,10.34,9.09,15299.16
06/14/2020,42,54.4,9.08,7.41,1675.99
06/14/2021,28,26.0,9.72,9.05,15308.9
06/15/2020,56,54.900000000000006,7.48,7.68,1683.46
06/15/2021,28,25.8,7.95,8.57,15316.85
06/16/2020,44,54.5,7.04,7.71,1690.48
06/16/2021,30,27.1,24.799999999999997,11.39,15341.63
06/17/2020,52,53.3,8.11,7.71,1698.57
06/17/2021,16,25.9,25.349999999999998,13.74,15366.98
06/18/2020,50,49.8,6.640000000000001,7.32,1705.22
06/18/2021,20,22.9,6.26,12.89,15373.25
06/19/2020,54,48.9,12.5,7.93,1717.67
06/19/2021,12,21.6,7.76,13.19,15381.01
06/20/2020,50,49.199999999999996,8.52,8.46,1726.2
06/20/2021,16,20.5,7.88,12.84,15388.89
06/21/2020,46,49.7,9.61,8.56,1735.8
06/21/2021,16,18.900000000000002,4.109999999999999,12.05,15393.0
06/22/2020,50,49.1,10.51,8.95,1746.32
06/22/2021,22,18.1,12.04,12.620000000000001,15405.04
06/23/2020,34,47.6,3.41,8.44,1749.72
06/23/2021,14,15.900000000000002,3.7,9.59,15408.72
06/24/2020,44,46.5,4.779999999999999,7.97,1754.51
06/24/2021,14,15.4,9.16,7.279999999999999,15417.88
06/25/2020,36,44.4,5.91,7.88,1760.4
06/25/2021,12,14.6,4.25,6.9799999999999995,15422.15
06/26/2020,32,41.5,3.4,6.5600000000000005,1763.81
06/26/2021,10,14.4,3.94,6.43,15426.09
06/27/2020,38,39.7,12.16,7.13,1775.98
06/27/2021,14,14.1,3.31,5.79,15429.42
06/28/2020,36,38.1,5.7299999999999995,6.58,1781.7
06/28/2021,8,12.8,1.3599999999999999,5.4,15430.79
06/29/2020,38,36.2,7.21,6.1000000000000005,1788.91
06/29/2021,14,11.8,2.37,4.03,15433.16
06/30/2020,42,37.400000000000006,7.3,6.66,1796.2
06/30/2021,12,11.6,7.25,4.54,15440.41
07/01/2020,42,37.2,11.67,7.64,1807.87
07/01/2021,4,10.3,0.7899999999999999,3.3400000000000003,15441.19
07/02/2020,46,38.6,9.68,8.17,1817.52
07/02/2021,16,10.799999999999999,3.0500000000000003,3.16,15444.24
07/03/2020,32,38.7,4.58,8.33,1822.11
07/03/2021,4,9.6,0.66,2.7,15444.88
07/04/2020,32,37.8,5.6899999999999995,7.390000000000001,1827.78
07/04/2021,14,9.7,10.85,3.76,15455.76
07/05/2020,50,39.800000000000004,5.2,7.32,1832.98
07/05/2021,12,10.3,4.18,4.15,15459.95
07/06/2020,44,40.800000000000004,5.49,7.05,1838.47
07/06/2021,6,9.3,0.79,3.95,15460.74
07/07/2020,26,38.4,3.37,6.53,1841.85
07/07/2021,8,8.7,1.18,3.09,15461.93
07/08/2020,38,37.9,6.84,5.84,1848.7
07/08/2021,6,8.9,1.28,3.17,15463.21
07/09/2020,26,35.0,3.8899999999999997,5.01,1852.5900000000001
07/09/2021,8,7.8,1.65,2.95,15464.87
07/10/2020,32,35.199999999999996,6.46,5.27,1859.06
07/10/2021,12,8.9,2.3,3.21,15467.17
07/11/2020,24,33.7,5.8,5.3,1864.8700000000001
07/11/2021,22,10.0,6.390000000000001,2.58,15473.53
07/12/2020,22,29.9,6.64,5.51,1871.53
07/12/2021,10,9.7,1.7,2.21,15475.25
07/13/2020,36,28.900000000000002,5.17,5.46,1876.69
07/13/2021,12,10.6,2.42,2.43,15477.68
07/14/2020,38,30.3,5.5200000000000005,5.78,1882.19
07/14/2021,6,10.3,0.7,2.36,15478.38
07/15/2020,32,29.8,5.029999999999999,5.5200000000000005,1887.2
07/15/2021,10,10.9,2.39,2.5,15480.77
07/16/2020,26,29.900000000000002,4.6,5.61,1891.82
07/16/2021,10,11.200000000000001,23.349999999999998,5.61,15504.119999999999
07/17/2020,24,28.6,8.7,5.92,1900.51
07/17/2021,6,10.200000000000001,1.1800000000000002,5.44,15505.31
07/18/2020,34,30.099999999999998,3.91,5.65,1904.44
07/18/2021,4,7.6,1.26,4.72,15506.56
07/19/2020,28,30.7,11.2,6.3,1915.6399999999999
07/19/2021,10,7.8,23.97,7.91,15530.56
07/20/2020,16,28.0,2.63,5.93,1918.27
07/20/2021,2,6.3999999999999995,0.09,7.57,15530.65
07/21/2020,26,26.3,9.55,6.49,1927.83
07/21/2021,12,7.3999999999999995,9.64,8.84,15540.28
07/22/2020,26,25.5,4.0600000000000005,6.3500000000000005,1931.8799999999999
07/22/2021,8,7.0,2.26,8.82,15542.55
07/23/2020,30,25.8,5.32,6.46,1937.21
07/23/2021,8,6.7,0.59,5.57,15543.13
07/24/2020,22,25.5,3.76,5.75,1940.99
07/24/2021,16,8.1,5.01,6.12,15548.12
07/25/2020,32,25.2,5.57,6.0,1946.56
07/25/2021,10,9.0,1.73,6.19,15549.85
07/26/2020,22,24.400000000000002,5.6,5.21,1952.17
07/26/2021,12,9.4,3.87,3.3200000000000003,15553.72
07/27/2020,24,25.5,2.35,5.16,1954.51
07/27/2021,10,10.4,1.0,3.44,15554.71
07/28/2020,32,26.3,5.08,4.55,1959.63
07/28/2021,14,10.7,2.69,2.4299999999999997,15557.41
07/29/2020,30,26.8,3.98,4.51,1963.61
07/29/2021,6,10.5,0.73,2.21,15558.14
07/30/2020,22,25.9,6.79,4.73,1970.3899999999999
07/30/2021,22,12.3,6.04,2.99,15564.17
07/31/2020,46,29.099999999999998,11.29,5.8100000000000005,1981.69
07/31/2021,14,11.9,3.96,2.85,15568.13
08/01/2020,26,28.2,2.16,5.3,1983.87
08/01/2021,26,14.200000000000001,4.08,3.19,15572.21
08/02/2020,38,30.5,7.949999999999999,5.63,1991.82
08/02/2021,6,13.600000000000001,1.33,2.82,15573.57
08/03/2020,38,32.5,9.06,6.59,2000.88
08/03/2021,6,13.1,1.38,2.89,15574.96
08/04/2020,20,30.6,3.2699999999999996,6.34,2004.16
08/04/2021,16,13.5,2.55,2.88,15577.51
08/05/2020,40,31.9,8.61,7.0200000000000005,2012.75
08/05/2021,26,16.1,7.87,3.92,15585.41
08/06/2020,38,34.7,4.4,6.68,2017.16
08/06/2021,28,17.1,7.16,4.0600000000000005,15592.539999999999
08/07/2020,72,38.2,11.24,6.66,2028.4
08/07/2021,30,19.5,5.87,4.32,15598.41
08/08/2020,30,38.9,5.54,7.13,2033.93
08/08/2021,12,17.6,2.5,4.1000000000000005,15600.91
08/09/2020,40,39.5,5.55,6.8,2039.47
08/09/2021,36,22.0,6.35,4.8,15607.24
08/10/2020,46,40.5,12.14,7.25,2051.59
08/10/2021,28,25.2,6.29,5.5,15613.55
08/11/2020,36,42.800000000000004,5.36,7.5600000000000005,2056.94
08/11/2021,22,25.9,7.050000000000001,6.140000000000001,15620.6
08/12/2020,42,42.9,5.67,7.15,2062.63
08/12/2021,16,24.2,4.48,5.67,15625.07
08/13/2020,38,42.8,8.68,7.760000000000001,2071.3
08/13/2021,30,24.3,6.29,5.57,15631.35
08/14/2020,26,36.0,5.16,6.88,2076.47
08/14/2021,18,22.6,4.54,5.36,15635.9
08/15/2020,22,35.0,9.540000000000001,7.44,2085.96
08/15/2021,26,24.8,7.18,6.0200000000000005,15643.06
08/16/2020,30,33.9,4.45,7.29,2090.42
08/16/2021,30,24.0,5.07,5.83,15648.14
08/17/2020,18,29.8,3.44,6.06,2093.89
08/17/2021,18,22.0,12.75,6.7700000000000005,15660.9
08/18/2020,38,29.9,12.71,7.12,2106.58
08/18/2021,38,24.6,12.02,7.48,15672.92
08/19/2020,24,27.3,4.68,6.97,2111.2599999999998
08/19/2021,42,28.2,16.68,9.19,15689.630000000001
08/20/2020,42,28.1,13.06,7.58,2124.33
08/20/2021,46,30.6,21.42,11.36,15711.03
08/21/2020,24,27.9,3.62,7.37,2127.93
08/21/2021,42,33.7,8.49,11.95,15719.52
